,HomeTeam,AwayTeam,Ave L5 HG,Ave L5 AG,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Home-AwayG,Home-AwaySHTT,Home-AwayCorners,Home-AwayFouls,SumofAdvantages,Result
385,MiddlesbroughH,ArsenalA,0.6,2.4,3.8,6.4,3.8,5.6,13.8,12,1.8,1.8,0.4,0.2,-1.8,-2.6,-1.8,1.8,-4.4,0
386,SunderlandH,IpswichA,1.4,1.4,7.8,5.2,4.8,7.2,17,13.8,1.8,0.8,0,0,0,2.6,-2.4,3.2,3.4,1
387,TottenhamH,AstonVillaA,1,1.2,4.4,4.4,4.2,4.2,13,14.4,1.4,3,0.2,0.2,-0.2,0,0,-1.4,-1.6,2
388,ChelseaH,NewcastleA,1.2,0.8,5.4,4,8.2,5.8,16,17.6,2.4,2.4,0,0.2,0.4,1.4,2.4,-1.6,2.6,2
389,ManUnitedH,FulhamA,2,1.145627,7.8,4.8,8.6,4.776679,12.2,11.95374,0.6,1.749049,0.2,0.090494,0.854373,3,3.823321,0.24626,7.923954,1
390,EvertonH,TottenhamA,2,1.4,8.4,4,5.6,2.2,15.6,12,2.6,1.6,0.4,0.4,0.6,4.4,3.4,3.6,12,2
391,ArsenalH,LeedsA,1.8,1.8,8.8,3.8,10.4,3.2,14.8,17.2,1.8,2.6,0,0.8,0,5,7.2,-2.4,9.8,0
392,BoltonH,MiddlesbroughA,1.521546,1.6,6.19,5,6.10545,3.2,11.43219,13.8,1.405703,1.2,0.063371,0,-0.078454,1.19,2.90545,-2.36781,1.649186,1
393,IpswichH,DerbyA,1.8,0.6,8,4.2,9,4,13.4,14.4,0.2,1.6,0,0.4,1.2,3.8,5,-1,9,1
394,BlackburnH,ManUnitedA,1.521546,1.2,6.19,5.4,6.10545,5.6,11.43219,15.6,1.405703,1.6,0.063371,0,0.321546,0.79,0.50545,-4.16781,-2.550814,2
395,FulhamH,SunderlandA,1.521546,0.6,6.19,3.4,6.10545,4.4,11.43219,18,1.405703,1.8,0.063371,0.2,0.921546,2.79,1.70545,-6.56781,-1.150814,1
396,ArsenalH,LeicesterA,2.2,0.4,7.2,2.8,9.8,2.8,16.6,15.8,2,2.2,0.2,0.2,1.8,4.4,7,0.8,14,1
397,BlackburnH,TottenhamA,1.521546,1.6,6.19,4.4,6.10545,3,11.43219,13,1.405703,1.6,0.063371,0.4,-0.078454,1.79,3.10545,-1.56781,3.249186,1
398,EvertonH,MiddlesbroughA,1.8,1.4,8,4.6,4.6,3.8,17.2,16.4,3,1.2,0.2,0,0.4,3.4,0.8,0.8,5.4,1
